title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,is_eemcs?,is_ee?,is_tcs?,ut_corresponding_author,all_authors,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,best_oa_link,pdf_link_best_oa,other_oa_links,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
On the Potential of Multi-objective Automated Algorithm Configuration on Multi-modal Multi-objective Optimisation Problems,https://doi.org/10.1007/978-3-031-56852-7_20,2024,book-chapter,,Multiobjective Optimization in Evolutionary Algorithms | Design for Manufacture and Assembly in Manufacturing | Swarm Intelligence Optimization Algorithms,,Jeroen Rook | Heike Trautmann,DMB,True,True,True,,Jeroen Rook | Heike Trautmann | Oliver Ludger Preuß,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56852-7_20,,,,,https://openalex.org/W4392978807,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,305-321,17,,https://openalex.samuelmok.cc/paper/39194,https://openalex.samuelmok.cc/api/paper/39194,,
Formal Methods for Industrial Critical Systems,https://doi.org/10.1007/s10009-024-00744-3,2024,journal-article,978-3-031-15007-4,Design for Manufacture and Assembly in Manufacturing | Modeling and Control of Petri Nets in Systems | Design and Operation of Reconfigurable Manufacturing Systems,,Marieke Huisman,FMT,True,False,True,,Marieke Huisman | Jan Friso Groote,,True,hybrid,,True,cc-by,,https://doi.org/10.1007/s10009-024-00744-3,https://link.springer.com/content/pdf/10.1007/s10009-024-00744-3.pdf,https://doi.org/10.1007/s10009-024-00744-3,https://link.springer.com/content/pdf/10.1007/s10009-024-00744-3.pdf,,https://openalex.org/W4391872568,https://research.utwente.nl/en/publications/d7423f4d-5e88-4457-aa02-aacfd7021b96,https://ris.utwente.nl/ws/files/286333474/1.pdf,http://www.scopus.com/inward/record.url?scp=85137977197&partnerID=8YFLogxK,,International Journal on Software Tools for Technology Transfer,1433-2779,1433-2787,Springer Science and Business Media LLC,,,,,,https://openalex.samuelmok.cc/paper/38507,https://openalex.samuelmok.cc/api/paper/38507,https://openalex.samuelmok.cc/api/pureentry/80807,https://openalex.samuelmok.cc/api/pilotpure/9140
Ontology-based security modeling in ArchiMate,https://doi.org/10.1007/s10270-024-01149-1,2024,journal-article,,Information Security Policy Compliance and Awareness | Network Intrusion Detection and Defense Mechanisms | QoS-Aware Web Services Composition and Semantic Matching,,Giancarlo Guizzardi | Ítalo Oliveira | Tiago Prince Sales,SCS,True,False,True,,João Paulo A. Almeida | Giancarlo Guizzardi | Ítalo Oliveira | Tiago Prince Sales | Riccardo Baratella | Mattia Fumagalli,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s10270-024-01149-1,https://link.springer.com/content/pdf/10.1007/s10270-024-01149-1.pdf,https://doi.org/10.1007/s10270-024-01149-1,https://link.springer.com/content/pdf/10.1007/s10270-024-01149-1.pdf,,https://openalex.org/W4391881141,,,,,Software and Systems Modeling,1619-1366,1619-1374,Springer Science and Business Media LLC,,,,,,https://openalex.samuelmok.cc/paper/38510,https://openalex.samuelmok.cc/api/paper/38510,,
"Modeling competences in enterprise architecture: from knowledge, skills, and attitudes to organizational capabilities",https://doi.org/10.1007/s10270-024-01151-7,2024,journal-article,,Factors Influencing IT-Business Alignment and Governance | Knowledge Management and Organizational Innovation | Understanding Human Competence at Work,,Rodrigo F. Calhau | Giancarlo Guizzardi,SCS,True,False,True,Rodrigo F. Calhau,João Paulo A. Almeida | Rodrigo F. Calhau | Giancarlo Guizzardi | Satyanarayana Kokkula,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s10270-024-01151-7,https://link.springer.com/content/pdf/10.1007/s10270-024-01151-7.pdf,https://doi.org/10.1007/s10270-024-01151-7,https://link.springer.com/content/pdf/10.1007/s10270-024-01151-7.pdf,,https://openalex.org/W4392464141,,,,,Software and Systems Modeling,1619-1366,1619-1374,Springer,,,,,,https://openalex.samuelmok.cc/paper/38511,https://openalex.samuelmok.cc/api/paper/38511,,
Modeling the effects of power efficient approximate multipliers in radio astronomy correlators,https://doi.org/10.1007/s10686-024-09921-3,2024,journal-article,,Radio Frequency Integrated Circuit Design | Phase-Locked Loops in High-Speed Circuits | Electromagnetic Compatibility in Electronics,,G. A. Gillani | André B.J. Kokkeler,CAES,True,True,True,André B.J. Kokkeler | G. A. Gillani,G. A. Gillani | André B.J. Kokkeler | Albert‐Jan Boonstra,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s10686-024-09921-3,https://link.springer.com/content/pdf/10.1007/s10686-024-09921-3.pdf,https://doi.org/10.1007/s10686-024-09921-3,https://link.springer.com/content/pdf/10.1007/s10686-024-09921-3.pdf,,https://openalex.org/W4392563407,,,,,Experimental Astronomy,0922-6435,1572-9508,Springer,57,2,,,,https://openalex.samuelmok.cc/paper/38515,https://openalex.samuelmok.cc/api/paper/38515,,
A Psychological Need-Fulfillment Perspective for Designing Social Robots that Support Well-Being,https://doi.org/10.1007/s12369-024-01102-8,2024,journal-article,,Neuroscience of Mind Wandering and Attention Lapses | Artificial Intelligence in Service Industry | Theories of Behavior Change and Self-Regulation,,Suzanne Janssen | Bob R. Schadenberg,HMI,True,False,True,Suzanne Janssen | Bob R. Schadenberg,Suzanne Janssen | Bob R. Schadenberg,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s12369-024-01102-8,https://link.springer.com/content/pdf/10.1007/s12369-024-01102-8.pdf,https://doi.org/10.1007/s12369-024-01102-8,https://link.springer.com/content/pdf/10.1007/s12369-024-01102-8.pdf,,https://openalex.org/W4392140906,,,,,International Journal of Social Robotics,1875-4791,1875-4805,Springer Science and Business Media LLC,,,,,,https://openalex.samuelmok.cc/paper/38525,https://openalex.samuelmok.cc/api/paper/38525,,
School-Based Interventions for Increasing Autistic Pupils’ Social Inclusion in Mainstream Schools: A Systematic Review,https://doi.org/10.1007/s40489-024-00429-2,2024,journal-article,,Autism Spectrum Disorders | Behavioral Interventions in Special Education | Impact of Parenting Stress on Caregivers and Families,,Carolien Rieffe,HMI,True,False,True,,Carolien Rieffe | Els Blijd-Hoogewys | Alexander Koutamanis | L Kovacs | Angeliki Louloumari | Lex Stockmann | Yung‐Ting Tsou,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s40489-024-00429-2,https://link.springer.com/content/pdf/10.1007/s40489-024-00429-2.pdf,https://doi.org/10.1007/s40489-024-00429-2,https://link.springer.com/content/pdf/10.1007/s40489-024-00429-2.pdf,,https://openalex.org/W4391781777,,,,,Review Journal of Autism and Developmental Disorders,2195-7185,2195-7177,,,,,,,https://openalex.samuelmok.cc/paper/38528,https://openalex.samuelmok.cc/api/paper/38528,,
NAISS: A Reverse Proxy Approach to Mitigate MageCart's E-Skimmers in E-Commerce,https://doi.org/10.1016/j.cose.2024.103797,2024,journal-article,,Security Challenges in Cloud Computing | Advanced Cryptographic Schemes and Protocols | Language-based Information Flow Security,,Mohammed El-Hajj | Dipti Kapoor Sarmah,SCS,True,False,True,Mohammed El-Hajj | Dipti Kapoor Sarmah,Mohammed El-Hajj | Dipti Kapoor Sarmah | Adrian-Cătălin Rus,,True,hybrid,,,cc-by,,https://doi.org/10.1016/j.cose.2024.103797,,https://doi.org/10.1016/j.cose.2024.103797,,,https://openalex.org/W4392580267,,,,,Computers & Security,0167-4048,1872-6208,,,,103797-103797,1,,https://openalex.samuelmok.cc/paper/38577,https://openalex.samuelmok.cc/api/paper/38577,,
The complexity of spanning tree problems involving graphical indices,https://doi.org/10.1016/j.dam.2024.01.005,2024,journal-article,,,,Hajo Broersma | Yanni Dong,FMT,True,False,True,Hajo Broersma,Hajo Broersma | Yanni Dong | Yuhang Bai | Shenggui Zhang,,True,hybrid,False,False,cc-by,,https://doi.org/10.1016/j.dam.2024.01.005,,https://doi.org/10.1016/j.dam.2024.01.005,,,https://openalex.org/W4391018646,,,,,Discrete Applied Mathematics,0166-218X,1872-6771,Elsevier BV,347,,143-154,12,,https://openalex.samuelmok.cc/paper/9936,https://openalex.samuelmok.cc/api/paper/9936,,
Sharp bounds for Laplacian spectral moments of digraphs with a fixed dichromatic number,https://doi.org/10.1016/j.disc.2023.113659,2024,journal-article,,Graph Spectra and Topological Indices | Aromaticity in Organic Molecules and Materials | Matrix Algorithms and Iterative Methods,,Hajo Broersma | Xiuwen Yang,FMT,True,False,True,Hajo Broersma,Hajo Broersma | Xiuwen Yang | Ligong Wang,,True,hybrid,False,False,cc-by,,https://doi.org/10.1016/j.disc.2023.113659,,https://doi.org/10.1016/j.disc.2023.113659,,,https://openalex.org/W4385962742,,,,,Discrete Mathematics,0012-365X,1872-681X,Elsevier BV,347,1,113659-113659,1,,https://openalex.samuelmok.cc/paper/10007,https://openalex.samuelmok.cc/api/paper/10007,,
Smile mimicry smoothens human-virtual human interactions,https://doi.org/10.1016/j.ijhcs.2023.103182,2024,journal-article,,,,Evania L Fasya | Dirk Heylen,HMI,True,False,True,Evania L Fasya,Evania L Fasya | Dirk Heylen | Mariska E. Kret | Esther van den Bos,,True,hybrid,False,True,cc-by-nc-nd,,https://doi.org/10.1016/j.ijhcs.2023.103182,,https://doi.org/10.1016/j.ijhcs.2023.103182,,,https://openalex.org/W4388599251,https://research.utwente.nl/en/publications/ea434196-a8f2-4afc-b25b-6d3822b9cc03,https://ris.utwente.nl/ws/files/347826472/1-s2.0-S107158192300191X-main.pdf,,,International Journal of Human-Computer Studies,1071-5819,1095-9300,,183,,103182-103182,1,,https://openalex.samuelmok.cc/paper/11259,https://openalex.samuelmok.cc/api/paper/11259,https://openalex.samuelmok.cc/api/pureentry/76189,https://openalex.samuelmok.cc/api/pilotpure/8619
A taxonomy and ontology for digital platforms,https://doi.org/10.1016/j.is.2023.102293,2024,journal-article,,The Impact of Sharing Economy on Consumption | Competition in Two-Sided Markets | Impact of Social Media on Consumer Behavior | Evolution of Service-Dominant Logic in Marketing Science | Digital Transformation in Business and Society,,Tiago Prince Sales,SCS,True,False,True,,Tiago Prince Sales | Thomas Derave | Frederik Gailly | Geert Poels,,False,closed,False,False,,,https://doi.org/10.1016/j.is.2023.102293,,,,,https://openalex.org/W4387492937,,,,,Information Systems,0306-4379,1873-6076,Elsevier BV,120,,102293-102293,1,,https://openalex.samuelmok.cc/paper/11574,https://openalex.samuelmok.cc/api/paper/11574,,
Automobile Insurance Fraud Detection Using Data Mining: A Systematic Literature Review,https://doi.org/10.1016/j.iswa.2024.200340,2024,journal-article,978-3-905673-77-7,Handling Imbalanced Data in Classification Problems | Anomaly Detection in High-Dimensional Data | Cybercrime and Dark Web Activities,,Mohammed El-Hajj | Dipti Kapoor Sarmah,SCS,True,False,True,Dipti Kapoor Sarmah,Mohammed El-Hajj | Dipti Kapoor Sarmah | Gilian Schrijver,,True,gold,,True,cc-by,,https://doi.org/10.1016/j.iswa.2024.200340,,https://doi.org/10.1016/j.iswa.2024.200340,,,https://openalex.org/W4391774182,https://research.utwente.nl/en/publications/b05bc83c-01b7-4bce-bd03-0791bcd9cb18,,,,Intelligent systems with applications,2667-3053,,Elsevier BV,,,200340-200340,1,,https://openalex.samuelmok.cc/paper/38618,https://openalex.samuelmok.cc/api/paper/38618,https://openalex.samuelmok.cc/api/pureentry/139432,
Survey of annotation generators for deductive verifiers,https://doi.org/10.1016/j.jss.2024.111972,2024,journal-article,,Formal Methods in Software Verification and Control | Mass Spectrometry Techniques | Language-based Information Flow Security,,Marieke Huisman,FMT,True,False,True,,Marieke Huisman | Sophie Lathouwers,,True,hybrid,,,cc-by,,https://doi.org/10.1016/j.jss.2024.111972,,https://doi.org/10.1016/j.jss.2024.111972,,,https://openalex.org/W4391716420,,,,,Journal of Systems and Software,0164-1212,1873-1228,Elsevier BV,,,111972-111972,1,,https://openalex.samuelmok.cc/paper/38638,https://openalex.samuelmok.cc/api/paper/38638,,
Deriving modernity signatures of codebases with static analysis,https://doi.org/10.1016/j.jss.2024.111973,2024,journal-article,,Empirical Studies in Software Engineering | Characterization and Detection of Android Malware | Software Reliability Assessment and Prediction,,Marcus Gerhold | Vadim Zaytsev,FMT,True,False,True,Vadim Zaytsev,Chris Admiraal | Marcus Gerhold | Wouter van den Brink | Vadim Zaytsev | Cristian Zubcu,,True,hybrid,,,cc-by,,https://doi.org/10.1016/j.jss.2024.111973,,https://doi.org/10.1016/j.jss.2024.111973,,,https://openalex.org/W4391517643,,,,,Journal of Systems and Software,0164-1212,1873-1228,Elsevier,211,,111973-111973,1,,https://openalex.samuelmok.cc/paper/38639,https://openalex.samuelmok.cc/api/paper/38639,,
The A spectral moments of digraphs with a given dichromatic number,https://doi.org/10.1016/j.laa.2023.12.024,2024,journal-article,,,,Hajo Broersma | Xiuwen Yang,FMT,True,False,True,Hajo Broersma,Hajo Broersma | Xiuwen Yang | Ligong Wang,,True,hybrid,False,False,cc-by,,https://doi.org/10.1016/j.laa.2023.12.024,,https://doi.org/10.1016/j.laa.2023.12.024,,,https://openalex.org/W4390632479,,,,,Linear Algebra and its Applications,0024-3795,1873-1856,Elsevier BV,685,,77-103,27,,https://openalex.samuelmok.cc/paper/13111,https://openalex.samuelmok.cc/api/paper/13111,,
The skew spectral radius and skew Randić spectral radius of general random oriented graphs,https://doi.org/10.1016/j.laa.2024.01.003,2024,journal-article,,,,Hajo Broersma,FMT,True,False,True,Hajo Broersma,Hajo Broersma | Jiangyou Hou | Dan Hu | Shenggui Zhang,,True,hybrid,False,False,cc-by,,https://doi.org/10.1016/j.laa.2024.01.003,,https://doi.org/10.1016/j.laa.2024.01.003,,,https://openalex.org/W4390619847,,,,,Linear Algebra and its Applications,0024-3795,1873-1856,Elsevier BV,,,125-137,13,,https://openalex.samuelmok.cc/paper/13112,https://openalex.samuelmok.cc/api/paper/13112,,
Seeing the world from its words: All-embracing Transformers for fingerprint-based indoor localization,https://doi.org/10.1016/j.pmcj.2024.101912,2024,journal-article,,Wireless Indoor Localization Techniques and Systems | Simultaneous Localization and Mapping | Visual Object Tracking and Person Re-identification,,Paul J.M. Havinga | Duc V. Le,PS,True,False,True,,Paul J.M. Havinga | Duc V. Le | Son Nguyen,,True,hybrid,,,cc-by,,https://doi.org/10.1016/j.pmcj.2024.101912,,https://doi.org/10.1016/j.pmcj.2024.101912,,,https://openalex.org/W4392661032,,,,,Pervasive and Mobile Computing,1574-1192,1873-1589,Elsevier BV,,,101912-101912,1,,https://openalex.samuelmok.cc/paper/38648,https://openalex.samuelmok.cc/api/paper/38648,,
Assessing Factory's Industry 4.0 Readiness: A Practical Method for IIoT Sensor and Network Analysis,https://doi.org/10.1016/j.procs.2024.02.090,2024,journal-article,,Industry 4.0 and Digital Transformation in Manufacturing | Technology Readiness Assessment and Evaluation | Impact of Big Data Analytics on Business Performance,,Sabari Nathan Anbalagan | Rob Bemthuis | Paul J.M. Havinga,PS,True,False,True,Sabari Nathan Anbalagan,Sabari Nathan Anbalagan | Rob Bemthuis | Paul J.M. Havinga | Melissa Schwarz-Tonhauser,,True,bronze,,,,,https://doi.org/10.1016/j.procs.2024.02.090,,https://doi.org/10.1016/j.procs.2024.02.090,,,https://openalex.org/W4392974932,,,,,Procedia Computer Science,1877-0509,,Elsevier BV,232,,2730-2739,10,,https://openalex.samuelmok.cc/paper/39239,https://openalex.samuelmok.cc/api/paper/39239,,
Preface for “Selected papers from the 25th Ibero-American Conference on Software Engineering (CIbSE 2022)”,https://doi.org/10.1016/j.scico.2023.103059,2024,journal-article,,Innovation in E-Learning and Knowledge Management,,Renata S. S. Guizzardi,SCS,True,False,True,,Renata S. S. Guizzardi | Monalessa Perini Barcellos | José Luis de la Vara | Marcela Genero,,False,closed,False,False,,,https://doi.org/10.1016/j.scico.2023.103059,,,,,https://openalex.org/W4388773539,,,,,Science of Computer Programming,0167-6423,1872-7964,Elsevier BV,233,,103059-103059,1,,https://openalex.samuelmok.cc/paper/14693,https://openalex.samuelmok.cc/api/paper/14693,,
Metallographic investigation of first full-size high-Jc Nb3Sn cable-in-conduit conductor after cyclic loading tests,https://doi.org/10.1016/j.supcon.2023.100071,2024,journal-article,,,,A. Nijhuis | Jinggang Qin,PS,True,False,True,,Zichuan Guo | A. Nijhuis | Jinggang Qin | Chao Dai | Yunhao Liu | Yu Wang | Zuojiafeng Wu | Tianjun Xue,,True,gold,False,False,cc-by-nc-nd,,https://doi.org/10.1016/j.supcon.2023.100071,,https://doi.org/10.1016/j.supcon.2023.100071,,,https://openalex.org/W4388713220,,,,,Superconductivity,2772-8307,,Elsevier BV,9,,100071-100071,1,,https://openalex.samuelmok.cc/paper/15070,https://openalex.samuelmok.cc/api/paper/15070,,
Assessing the Health Impact of Disinfection Byproducts in Drinking Water,https://doi.org/10.1021/acsestwater.3c00664,2024,journal-article,,Occurrence and Health Effects of Drinking Water Disinfection By-Products | Wastewater Reuse and Management Practices | Fate and Effects of Surfactants in the Environment,,Paul J.M. Havinga | Andreas Kamilaris,PS,True,False,True,,Paul J.M. Havinga | Andreas Kamilaris | Indrajit Kalita | Igor Reva,,True,hybrid,,,cc-by,,https://doi.org/10.1021/acsestwater.3c00664,https://pubs.acs.org/doi/pdf/10.1021/acsestwater.3c00664,https://doi.org/10.1021/acsestwater.3c00664,https://pubs.acs.org/doi/pdf/10.1021/acsestwater.3c00664,,https://openalex.org/W4392348629,,,,,ACS ES&T Water,2690-0637,,,,,,,,https://openalex.samuelmok.cc/paper/38695,https://openalex.samuelmok.cc/api/paper/38695,,
Graded exercise therapy should not be recommended for patients with post-exertional malaise,https://doi.org/10.1038/s41569-024-00992-5,2024,journal-article,,,,Joanne VanDerNagel,HMI,True,False,True,,Joanne VanDerNagel | Todd E. Davenport | Merel E. Hellemons | Kathryn Hoffmann | David Putrino | Carmen Scheibenbogen | Michael Stingl | Eva Untersmayr | Femke C C van Rhijn-Brouwer,,True,bronze,False,True,,,https://doi.org/10.1038/s41569-024-00992-5,https://www.nature.com/articles/s41569-024-00992-5.pdf,https://doi.org/10.1038/s41569-024-00992-5,https://www.nature.com/articles/s41569-024-00992-5.pdf,,https://openalex.org/W4391251154,https://research.utwente.nl/en/publications/5e6fd1d3-d5b8-4f59-88de-f0c660b1a9e3,,,,Nature Reviews Cardiology,1759-5002,1759-5010,Springer Science and Business Media LLC,,,,,,https://openalex.samuelmok.cc/paper/17502,https://openalex.samuelmok.cc/api/paper/17502,https://openalex.samuelmok.cc/api/pureentry/75932,https://openalex.samuelmok.cc/api/pilotpure/8537
The Impact of Illumination on Finger Vascular Pattern Recognition,https://doi.org/10.1049/2024/4413655,2024,journal-article,,Ethical Considerations in Clinical Photography and Documentation | Biometric Recognition and Security Systems | Craniofacial Reconstruction Techniques,,Geert J. Laanstra | Luuk Spreeuwers | Raymond Veldhuis,DMB,True,True,True,,Geert J. Laanstra | Pesigrihastamadya Normakristagaluh | Luuk Spreeuwers | Raymond Veldhuis,,True,gold,,,cc-by,,https://doi.org/10.1049/2024/4413655,https://downloads.hindawi.com/journals/ietbm/2024/4413655.pdf,https://doi.org/10.1049/2024/4413655,https://downloads.hindawi.com/journals/ietbm/2024/4413655.pdf,,https://openalex.org/W4391515303,,,,,IET Biometrics,2047-4938,2047-4946,Institution of Engineering and Technology (IET),2024,,1-17,17,,https://openalex.samuelmok.cc/paper/38710,https://openalex.samuelmok.cc/api/paper/38710,,
Validation of the Brief Shame and Guilt Questionnaire for Children and young adolescents in Persian,https://doi.org/10.1080/17405629.2024.2315771,2024,journal-article,,Moral Emotions and Behavioral Impact | Emotion Regulation and Psychopathology in Children and Adolescents | Detection of Deception in Communication and Interrogation,,Carolien Rieffe,HMI,True,False,True,Carolien Rieffe,Carolien Rieffe | Zahra Sheikhpour Ahandany | Alireza Mohammadi Arya | Reza Soltani Shal | Yung‐Ting Tsou,,True,hybrid,,,cc-by-nc-nd,,https://doi.org/10.1080/17405629.2024.2315771,https://www.tandfonline.com/doi/pdf/10.1080/17405629.2024.2315771?needAccess=true,https://doi.org/10.1080/17405629.2024.2315771,https://www.tandfonline.com/doi/pdf/10.1080/17405629.2024.2315771?needAccess=true,,https://openalex.org/W4391820442,,,,,European Journal of Developmental Psychology,1740-5610,1740-5629,,,,1-14,14,,https://openalex.samuelmok.cc/paper/38733,https://openalex.samuelmok.cc/api/paper/38733,,
