title,doi,year,itemtype,isbn,topics,Authorinfo ->,ut_authors,ut_groups,Openaccessinfo ->,is_openaccess,openaccess_type,found_as_green,present_in_pure,license,URLs ->,primary_link,pdf_link_primary,openalex_url,pure_page_link,pure_file_link,scopus_link,Journalinfo ->,journal,journal_issn,journal_e_issn,journal_publisher,volume,issue,pages,pagescount,MUS links ->,mus_paper_details,mus_api_url_paper,mus_api_url_pure_entry,mus_api_url_pure_report_details
Monitoring Value Chains of Organic Beverages,https://doi.org/10.1007/978-3-031-54712-6_5,2024,book-chapter,,Traceability in Food Supply Chain Management | Food Waste Management and Reduction | Factors Affecting Meat Quality and Preservation,,Faiza Allah Bukhsh,DMB,,False,closed,,,,,https://doi.org/10.1007/978-3-031-54712-6_5,,https://openalex.org/W4392398173,,,,,,,,,,,81-88,8,,https://openalex.samuelmok.cc/paper/38463,https://openalex.samuelmok.cc/api/paper/38463,,
Swamp of Reflectors: Investigating the Ecosystem of Open DNS Resolvers,https://doi.org/10.1007/978-3-031-56252-5_1,2024,book-chapter,,Network Intrusion Detection and Defense Mechanisms | Characterization and Detection of Android Malware | Language-based Information Flow Security,,Mattijs Jonker | Anna Sperotto | Ramin Yazdani,DACS,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56252-5_1,,https://openalex.org/W4392964430,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,3-18,16,,https://openalex.samuelmok.cc/paper/39192,https://openalex.samuelmok.cc/api/paper/39192,,
Swamp of Reflectors: Investigating the Ecosystem of Open DNS Resolvers,https://doi.org/10.1007/978-3-031-56252-5_1,2024,book-chapter,,Network Intrusion Detection and Defense Mechanisms | Characterization and Detection of Android Malware | Language-based Information Flow Security,,Mattijs Jonker | Anna Sperotto | Ramin Yazdani,DACS,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56252-5_1,,https://openalex.org/W4392964430,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,3-18,16,,https://openalex.samuelmok.cc/paper/39192,https://openalex.samuelmok.cc/api/paper/39192,,
Swamp of Reflectors: Investigating the Ecosystem of Open DNS Resolvers,https://doi.org/10.1007/978-3-031-56252-5_1,2024,book-chapter,,Network Intrusion Detection and Defense Mechanisms | Characterization and Detection of Android Malware | Language-based Information Flow Security,,Mattijs Jonker | Anna Sperotto | Ramin Yazdani,DACS,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56252-5_1,,https://openalex.org/W4392964430,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,3-18,16,,https://openalex.samuelmok.cc/paper/39192,https://openalex.samuelmok.cc/api/paper/39192,,
On the Potential of Multi-objective Automated Algorithm Configuration on Multi-modal Multi-objective Optimisation Problems,https://doi.org/10.1007/978-3-031-56852-7_20,2024,book-chapter,,Multiobjective Optimization in Evolutionary Algorithms | Design for Manufacture and Assembly in Manufacturing | Swarm Intelligence Optimization Algorithms,,Jeroen Rook | Heike Trautmann,DMB,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56852-7_20,,https://openalex.org/W4392978807,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,305-321,17,,https://openalex.samuelmok.cc/paper/39194,https://openalex.samuelmok.cc/api/paper/39194,,
On the Potential of Multi-objective Automated Algorithm Configuration on Multi-modal Multi-objective Optimisation Problems,https://doi.org/10.1007/978-3-031-56852-7_20,2024,book-chapter,,Multiobjective Optimization in Evolutionary Algorithms | Design for Manufacture and Assembly in Manufacturing | Swarm Intelligence Optimization Algorithms,,Jeroen Rook | Heike Trautmann,DMB,,False,closed,,,,,https://doi.org/10.1007/978-3-031-56852-7_20,,https://openalex.org/W4392978807,,,,,Lecture Notes in Computer Science,0302-9743,1611-3349,,,,305-321,17,,https://openalex.samuelmok.cc/paper/39194,https://openalex.samuelmok.cc/api/paper/39194,,
Modeling the effects of power efficient approximate multipliers in radio astronomy correlators,https://doi.org/10.1007/s10686-024-09921-3,2024,journal-article,,Radio Frequency Integrated Circuit Design | Phase-Locked Loops in High-Speed Circuits | Electromagnetic Compatibility in Electronics,,G. A. Gillani | André B.J. Kokkeler,CAES | RS,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s10686-024-09921-3,https://link.springer.com/content/pdf/10.1007/s10686-024-09921-3.pdf,https://openalex.org/W4392563407,,,,,Experimental Astronomy,0922-6435,1572-9508,Springer,57,2,,,,https://openalex.samuelmok.cc/paper/38515,https://openalex.samuelmok.cc/api/paper/38515,,
Modeling the effects of power efficient approximate multipliers in radio astronomy correlators,https://doi.org/10.1007/s10686-024-09921-3,2024,journal-article,,Radio Frequency Integrated Circuit Design | Phase-Locked Loops in High-Speed Circuits | Electromagnetic Compatibility in Electronics,,G. A. Gillani | André B.J. Kokkeler,CAES | RS,,True,hybrid,,,cc-by,,https://doi.org/10.1007/s10686-024-09921-3,https://link.springer.com/content/pdf/10.1007/s10686-024-09921-3.pdf,https://openalex.org/W4392563407,,,,,Experimental Astronomy,0922-6435,1572-9508,Springer,57,2,,,,https://openalex.samuelmok.cc/paper/38515,https://openalex.samuelmok.cc/api/paper/38515,,
"Modelling, Analysis, and Control of OmniMorph: an Omnidirectional Morphing Multi-rotor UAV",https://doi.org/10.1007/s10846-024-02054-x,2024,journal-article,,Robotic Control and Stabilization Techniques | Underwater Acoustic Sensor Networks and Communication | Sampling-Based Motion Planning Algorithms,,Antonio Franchi | Chiara Gabellieri,RAM,,True,hybrid,,True,cc-by,,https://doi.org/10.1007/s10846-024-02054-x,https://link.springer.com/content/pdf/10.1007/s10846-024-02054-x.pdf,https://openalex.org/W4391226501,https://research.utwente.nl/en/publications/79e940b7-f8e7-49ec-bb08-4de9fecdf3f6,https://ris.utwente.nl/ws/files/351184470/s10846-024-02054-x.pdf,http://www.scopus.com/inward/record.url?scp=85182955588&partnerID=8YFLogxK,,Journal of Intelligent and Robotic Systems,0921-0296,1573-0409,Springer Science and Business Media LLC,110,1,,,,https://openalex.samuelmok.cc/paper/38516,https://openalex.samuelmok.cc/api/paper/38516,https://openalex.samuelmok.cc/api/pureentry/76193,
"Modelling, Analysis, and Control of OmniMorph: an Omnidirectional Morphing Multi-rotor UAV",https://doi.org/10.1007/s10846-024-02054-x,2024,journal-article,,Robotic Control and Stabilization Techniques | Underwater Acoustic Sensor Networks and Communication | Sampling-Based Motion Planning Algorithms,,Antonio Franchi | Chiara Gabellieri,RAM,,True,hybrid,,True,cc-by,,https://doi.org/10.1007/s10846-024-02054-x,https://link.springer.com/content/pdf/10.1007/s10846-024-02054-x.pdf,https://openalex.org/W4391226501,https://research.utwente.nl/en/publications/79e940b7-f8e7-49ec-bb08-4de9fecdf3f6,https://ris.utwente.nl/ws/files/351184470/s10846-024-02054-x.pdf,http://www.scopus.com/inward/record.url?scp=85182955588&partnerID=8YFLogxK,,Journal of Intelligent and Robotic Systems,0921-0296,1573-0409,Springer Science and Business Media LLC,110,1,,,,https://openalex.samuelmok.cc/paper/38516,https://openalex.samuelmok.cc/api/paper/38516,https://openalex.samuelmok.cc/api/pureentry/76193,
Electric vehicle charging technology and its control,https://doi.org/10.1016/b978-0-323-85622-5.00014-6,2024,book-chapter,,Lithium-ion Battery Management in Electric Vehicles | Integration of Electric Vehicles in Power Systems | Wireless Power Transfer Systems and Applications,,Thiago Batista Soeiro,PE,,False,closed,,,,,https://doi.org/10.1016/b978-0-323-85622-5.00014-6,,https://openalex.org/W4392395064,,,,,Elsevier eBooks,,,,,,241-307,67,,https://openalex.samuelmok.cc/paper/38541,https://openalex.samuelmok.cc/api/paper/38541,,
Investigating change of discomfort during repetitive force exertion though an exoskeleton cuff,https://doi.org/10.1016/j.apergo.2023.104055,2024,journal-article,,,,Jaap H. Buurke | Gerdienke B. Prange-Lasonder,BSS,,False,closed,False,False,,,https://doi.org/10.1016/j.apergo.2023.104055,,https://openalex.org/W4388795744,,,,,Applied Ergonomics,0003-6870,1872-9126,Elsevier BV,115,,104055-104055,1,,https://openalex.samuelmok.cc/paper/8485,https://openalex.samuelmok.cc/api/paper/8485,,
Estimation of sagittal-plane whole-body angular momentum during perturbed and unperturbed gait using simplified body models,https://doi.org/10.1016/j.humov.2024.103179,2024,journal-article,,,,Edwin van Asseldonk | Michelle van Mierlo | Petrus H. Veltink | J. Zhang,BSS,,True,hybrid,False,True,cc-by,,https://doi.org/10.1016/j.humov.2024.103179,,https://openalex.org/W4391074978,https://research.utwente.nl/en/publications/3a392d2d-eddd-42e1-9479-3d76ce299a21,https://ris.utwente.nl/ws/files/350060326/1-s2.0-S0167945724000022-main.pdf,,,Human Movement Science,0167-9457,1872-7646,Elsevier BV,93,,103179-103179,1,,https://openalex.samuelmok.cc/paper/11142,https://openalex.samuelmok.cc/api/paper/11142,https://openalex.samuelmok.cc/api/pureentry/76214,
Estimation of sagittal-plane whole-body angular momentum during perturbed and unperturbed gait using simplified body models,https://doi.org/10.1016/j.humov.2024.103179,2024,journal-article,,,,Edwin van Asseldonk | Michelle van Mierlo | Petrus H. Veltink | J. Zhang,BSS,,True,hybrid,False,True,cc-by,,https://doi.org/10.1016/j.humov.2024.103179,,https://openalex.org/W4391074978,https://research.utwente.nl/en/publications/3a392d2d-eddd-42e1-9479-3d76ce299a21,https://ris.utwente.nl/ws/files/350060326/1-s2.0-S0167945724000022-main.pdf,,,Human Movement Science,0167-9457,1872-7646,Elsevier BV,93,,103179-103179,1,,https://openalex.samuelmok.cc/paper/11142,https://openalex.samuelmok.cc/api/paper/11142,https://openalex.samuelmok.cc/api/pureentry/76214,
Electrowetting assisted shedding of droplets by a shearing airflow in dropwise condensation,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124925,2024,journal-article,,Electrowetting in Microfluidics and Optics | Paper-Based Diagnostic Devices | Self-Reconfigurable Robotic Systems and Modular Robotics | Microfluidic Techniques for Particle Manipulation and Separation | Electrohydrodynamic Jet Printing and Nanoparticle Encapsulation,,Friedrich Gunther Mugele | Daniël Wijnperlé,BIOS,,False,closed,False,False,,,https://doi.org/10.1016/j.ijheatmasstransfer.2023.124925,,https://openalex.org/W4389004613,,,,,International Journal of Heat and Mass Transfer,0017-9310,1879-2189,Elsevier BV,220,,124925-124925,1,,https://openalex.samuelmok.cc/paper/11294,https://openalex.samuelmok.cc/api/paper/11294,,
Clinical Application and Further Development of Augmented Reality Guidance for the Surgical Localization of Pediatric Chest Wall Tumors,https://doi.org/10.1016/j.jpedsurg.2024.02.023,2024,journal-article,,Surgical Simulation and Training Techniques | Augmented Reality and its Applications | Application of 3D Printing in Medical Anatomy Education,,Françoise J. Siepel,RAM,,True,hybrid,,,cc-by-nc-nd,,https://doi.org/10.1016/j.jpedsurg.2024.02.023,,https://openalex.org/W4392133220,,,,,Journal of Pediatric Surgery,0022-3468,1531-5037,,,,,,,https://openalex.samuelmok.cc/paper/38636,https://openalex.samuelmok.cc/api/paper/38636,,
Multi-modal 3-Dimensional Visualization of Pediatric Neuroblastoma: Aiding surgical Planning Beyond Anatomical Information,https://doi.org/10.1016/j.jpedsurg.2024.02.025,2024,journal-article,,Neuroblastoma Research and Treatment | Gliomas | Neurofibromatosis Type 1 and Type 2,,Bennie ten Haken | Can Ozan Tan,RAM,,True,hybrid,,,cc-by-nc-nd,,https://doi.org/10.1016/j.jpedsurg.2024.02.025,,https://openalex.org/W4392133216,,,,,Journal of Pediatric Surgery,0022-3468,1531-5037,,,,,,,https://openalex.samuelmok.cc/paper/38637,https://openalex.samuelmok.cc/api/paper/38637,,
A novel robotic system enabling multiple bilateral upper limb rehabilitation training via an admittance controller and force field,https://doi.org/10.1016/j.mechatronics.2023.103112,2024,journal-article,,Principles and Interventions in Stroke Rehabilitation | Botulinum Toxin in Neurology and Medicine | Analysis of Electromyography Signal Processing | Classification and Interventions for Cerebral Palsy | Pathophysiology and Treatment of Spinal Cord Injury,,Ramy Rashad | Stefano Stramigioli,RAM,,True,bronze,False,True,,,https://doi.org/10.1016/j.mechatronics.2023.103112,,https://openalex.org/W4389067319,https://research.utwente.nl/en/publications/c48b66d4-3cd9-4f94-b046-68b2cfae7efb,https://ris.utwente.nl/ws/files/299008759/IEEE_T_mech.pdf,,,Mechatronics,0957-4158,1873-4006,Elsevier BV,97,,103112-103112,1,,https://openalex.samuelmok.cc/paper/13285,https://openalex.samuelmok.cc/api/paper/13285,https://openalex.samuelmok.cc/api/pureentry/78948,https://openalex.samuelmok.cc/api/pilotpure/11063
A novel robotic system enabling multiple bilateral upper limb rehabilitation training via an admittance controller and force field,https://doi.org/10.1016/j.mechatronics.2023.103112,2024,journal-article,,Principles and Interventions in Stroke Rehabilitation | Botulinum Toxin in Neurology and Medicine | Analysis of Electromyography Signal Processing | Classification and Interventions for Cerebral Palsy | Pathophysiology and Treatment of Spinal Cord Injury,,Ramy Rashad | Stefano Stramigioli,RAM,,True,bronze,False,True,,,https://doi.org/10.1016/j.mechatronics.2023.103112,,https://openalex.org/W4389067319,https://research.utwente.nl/en/publications/c48b66d4-3cd9-4f94-b046-68b2cfae7efb,https://ris.utwente.nl/ws/files/299008759/IEEE_T_mech.pdf,,,Mechatronics,0957-4158,1873-4006,Elsevier BV,97,,103112-103112,1,,https://openalex.samuelmok.cc/paper/13285,https://openalex.samuelmok.cc/api/paper/13285,https://openalex.samuelmok.cc/api/pureentry/78948,https://openalex.samuelmok.cc/api/pilotpure/11063
Subthalamic and pallidal neurons are modulated during externally cued movements in Parkinson's disease,https://doi.org/10.1016/j.nbd.2023.106384,2024,journal-article,,,,Tjitske Heida | Janne J.A. Heijs,BSS,,True,gold,False,True,cc-by-nc-nd,,https://doi.org/10.1016/j.nbd.2023.106384,,https://openalex.org/W4389990431,https://research.utwente.nl/en/publications/211d8b1c-8fcc-4912-af32-7e57978b908a,https://ris.utwente.nl/ws/files/347971002/1-s2.0-S096999612300400X-main.pdf,,,Neurobiology of Disease,0969-9961,1095-953X,Elsevier BV,190,,106384-106384,1,,https://openalex.samuelmok.cc/paper/13616,https://openalex.samuelmok.cc/api/paper/13616,https://openalex.samuelmok.cc/api/pureentry/76319,
Subthalamic and pallidal neurons are modulated during externally cued movements in Parkinson's disease,https://doi.org/10.1016/j.nbd.2023.106384,2024,journal-article,,,,Tjitske Heida | Janne J.A. Heijs,BSS,,True,gold,False,True,cc-by-nc-nd,,https://doi.org/10.1016/j.nbd.2023.106384,,https://openalex.org/W4389990431,https://research.utwente.nl/en/publications/211d8b1c-8fcc-4912-af32-7e57978b908a,https://ris.utwente.nl/ws/files/347971002/1-s2.0-S096999612300400X-main.pdf,,,Neurobiology of Disease,0969-9961,1095-953X,Elsevier BV,190,,106384-106384,1,,https://openalex.samuelmok.cc/paper/13616,https://openalex.samuelmok.cc/api/paper/13616,https://openalex.samuelmok.cc/api/pureentry/76319,
Innovative electrode and chip designs for transendothelial electrical resistance measurements in organs-on-chips,https://doi.org/10.1039/d3lc00901g,2024,journal-article,,,,Muriel Alexandra Holzreuter | Loes Segerink,BIOS,,True,hybrid,False,True,cc-by,,https://doi.org/10.1039/d3lc00901g,https://pubs.rsc.org/en/content/articlepdf/2024/lc/d3lc00901g,https://openalex.org/W4390497762,https://research.utwente.nl/en/publications/6d040aad-c1e7-42f4-b970-e8fc3a442d08,https://ris.utwente.nl/ws/files/347870085/d3lc00901g.pdf,,,Lab on a Chip,1473-0189,1473-0197,,,,,,,https://openalex.samuelmok.cc/paper/18433,https://openalex.samuelmok.cc/api/paper/18433,https://openalex.samuelmok.cc/api/pureentry/76286,
Innovative electrode and chip designs for transendothelial electrical resistance measurements in organs-on-chips,https://doi.org/10.1039/d3lc00901g,2024,journal-article,,,,Muriel Alexandra Holzreuter | Loes Segerink,BIOS,,True,hybrid,False,True,cc-by,,https://doi.org/10.1039/d3lc00901g,https://pubs.rsc.org/en/content/articlepdf/2024/lc/d3lc00901g,https://openalex.org/W4390497762,https://research.utwente.nl/en/publications/6d040aad-c1e7-42f4-b970-e8fc3a442d08,https://ris.utwente.nl/ws/files/347870085/d3lc00901g.pdf,,,Lab on a Chip,1473-0189,1473-0197,,,,,,,https://openalex.samuelmok.cc/paper/18433,https://openalex.samuelmok.cc/api/paper/18433,https://openalex.samuelmok.cc/api/pureentry/76286,
Alternative nano-lithographic tools for shell-isolated nanoparticle enhanced Raman spectroscopy substrates,https://doi.org/10.1039/d4nr00428k,2024,journal-article,,"Plasmonic Nanoparticles: Synthesis, Properties, and Applications | DNA Nanotechnology and Bioanalytical Applications | Biomedical Applications of Spectroscopy Techniques",,Han Gardeniers | Dirk Jonker | Mathieu Odijk | Ketki Srivastava | Arturo Susarrey‐Arce | Albert van den Berg,BIOS,,True,hybrid,,,cc-by,,https://doi.org/10.1039/d4nr00428k,https://pubs.rsc.org/en/content/articlepdf/2024/nr/d4nr00428k,https://openalex.org/W4392806519,,,,,Nanoscale,2040-3364,2040-3372,Royal Society of Chemistry (RSC),,,,,,https://openalex.samuelmok.cc/paper/39260,https://openalex.samuelmok.cc/api/paper/39260,,
Alternative nano-lithographic tools for shell-isolated nanoparticle enhanced Raman spectroscopy substrates,https://doi.org/10.1039/d4nr00428k,2024,journal-article,,"Plasmonic Nanoparticles: Synthesis, Properties, and Applications | DNA Nanotechnology and Bioanalytical Applications | Biomedical Applications of Spectroscopy Techniques",,Han Gardeniers | Dirk Jonker | Mathieu Odijk | Ketki Srivastava | Arturo Susarrey‐Arce | Albert van den Berg,BIOS,,True,hybrid,,,cc-by,,https://doi.org/10.1039/d4nr00428k,https://pubs.rsc.org/en/content/articlepdf/2024/nr/d4nr00428k,https://openalex.org/W4392806519,,,,,Nanoscale,2040-3364,2040-3372,Royal Society of Chemistry (RSC),,,,,,https://openalex.samuelmok.cc/paper/39260,https://openalex.samuelmok.cc/api/paper/39260,,
Alternative nano-lithographic tools for shell-isolated nanoparticle enhanced Raman spectroscopy substrates,https://doi.org/10.1039/d4nr00428k,2024,journal-article,,"Plasmonic Nanoparticles: Synthesis, Properties, and Applications | DNA Nanotechnology and Bioanalytical Applications | Biomedical Applications of Spectroscopy Techniques",,Han Gardeniers | Dirk Jonker | Mathieu Odijk | Ketki Srivastava | Arturo Susarrey‐Arce | Albert van den Berg,BIOS,,True,hybrid,,,cc-by,,https://doi.org/10.1039/d4nr00428k,https://pubs.rsc.org/en/content/articlepdf/2024/nr/d4nr00428k,https://openalex.org/W4392806519,,,,,Nanoscale,2040-3364,2040-3372,Royal Society of Chemistry (RSC),,,,,,https://openalex.samuelmok.cc/paper/39260,https://openalex.samuelmok.cc/api/paper/39260,,
The Impact of Illumination on Finger Vascular Pattern Recognition,https://doi.org/10.1049/2024/4413655,2024,journal-article,,Ethical Considerations in Clinical Photography and Documentation | Biometric Recognition and Security Systems | Craniofacial Reconstruction Techniques,,Geert J. Laanstra | Luuk Spreeuwers | Raymond Veldhuis,DMB,,True,gold,,,cc-by,,https://doi.org/10.1049/2024/4413655,https://downloads.hindawi.com/journals/ietbm/2024/4413655.pdf,https://openalex.org/W4391515303,,,,,IET Biometrics,2047-4938,2047-4946,Institution of Engineering and Technology (IET),2024,,1-17,17,,https://openalex.samuelmok.cc/paper/38710,https://openalex.samuelmok.cc/api/paper/38710,,
The Impact of Illumination on Finger Vascular Pattern Recognition,https://doi.org/10.1049/2024/4413655,2024,journal-article,,Ethical Considerations in Clinical Photography and Documentation | Biometric Recognition and Security Systems | Craniofacial Reconstruction Techniques,,Geert J. Laanstra | Luuk Spreeuwers | Raymond Veldhuis,DMB,,True,gold,,,cc-by,,https://doi.org/10.1049/2024/4413655,https://downloads.hindawi.com/journals/ietbm/2024/4413655.pdf,https://openalex.org/W4391515303,,,,,IET Biometrics,2047-4938,2047-4946,Institution of Engineering and Technology (IET),2024,,1-17,17,,https://openalex.samuelmok.cc/paper/38710,https://openalex.samuelmok.cc/api/paper/38710,,
The Impact of Illumination on Finger Vascular Pattern Recognition,https://doi.org/10.1049/2024/4413655,2024,journal-article,,Ethical Considerations in Clinical Photography and Documentation | Biometric Recognition and Security Systems | Craniofacial Reconstruction Techniques,,Geert J. Laanstra | Luuk Spreeuwers | Raymond Veldhuis,DMB,,True,gold,,,cc-by,,https://doi.org/10.1049/2024/4413655,https://downloads.hindawi.com/journals/ietbm/2024/4413655.pdf,https://openalex.org/W4391515303,,,,,IET Biometrics,2047-4938,2047-4946,Institution of Engineering and Technology (IET),2024,,1-17,17,,https://openalex.samuelmok.cc/paper/38710,https://openalex.samuelmok.cc/api/paper/38710,,
Learning passive policies with virtual energy tanks in robotics,https://doi.org/10.1049/cth2.12558,2024,journal-article,,Memristive Devices for Neuromorphic Computing | Modeling and Control of Port-Hamiltonian Systems | Reinforcement Learning Algorithms,,Federico Califano | Stefano Stramigioli,RAM,,True,gold,False,False,cc-by,,https://doi.org/10.1049/cth2.12558,,https://openalex.org/W4391260208,,,,,Iet Control Theory and Applications,1751-8644,1751-8652,Institution of Engineering and Technology (IET),,,,,,https://openalex.samuelmok.cc/paper/18464,https://openalex.samuelmok.cc/api/paper/18464,,
